HIGH,TRD_DT,CHG,SECU_CODE,VOLUME,TURN,PRE_CLOSE,LOW,SWING,CLOSE,ADJ_TYPE,PCT_CHG,OPEN,AMT
1.9455,19910104,14.2,000005.SZE,41.0,0.0092,0.4133,1.9455,0.0,1.9455,before,370.7572,1.9455,370000.0
1.9261,19910107,-0.09,000005.SZE,21.0,0.0047,1.9358,1.9261,0.0,1.9261,before,-0.5017,1.9261,187000.0
1.9066,19910109,-0.18,000005.SZE,29.0,0.0065,1.9261,1.9066,0.0,1.9066,before,-1.0084,1.9066,256000.0
1.8969,19910110,-0.09,000005.SZE,13.0,0.0029,1.9066,1.8969,0.0,1.8969,before,-0.5093,1.8969,114000.0
1.8829,19910111,-0.13,000005.SZE,1.0,0.0002,1.8969,1.8829,0.0,1.8829,before,-0.7395,1.8829,9000.0
1.8678,19910114,-0.09,000005.SZE,1.0,0.0002,1.8775,1.8678,0.0,1.8678,before,-0.5172,1.8678,9000.0
1.8581,19910115,-0.09,000005.SZE,3.0,0.0007,1.8678,1.8581,0.0,1.8581,before,-0.5199,1.8581,26000.0
1.8484,19910116,-0.09,000005.SZE,1.0,0.0002,1.8581,1.8484,0.0,1.8484,before,-0.5226,1.8484,8000.0
1.8387,19910117,-0.09,000005.SZE,4.0,0.0009,1.8484,1.8387,0.0,1.8387,before,-0.5254,1.8387,34000.0
1.8117,19910121,-0.08,000005.SZE,1.0,0.0002,1.8203,1.8117,0.0,1.8117,before,-0.4742,1.8117,8000.0
1.8031,19910122,-0.08,000005.SZE,4.0,0.0009,1.8117,1.8031,0.0,1.8031,before,-0.4765,1.8031,8000.0
1.7944,19910123,-0.08,000005.SZE,10.0,0.0023,1.8031,1.7944,0.0,1.7944,before,-0.4788,1.7944,83000.0
1.7858,19910124,-0.08,000005.SZE,3.0,0.0007,1.7944,1.7858,0.0,1.7858,before,-0.4811,1.7858,25000.0
1.7513,19910129,-0.16,000005.SZE,7.0,0.0016,1.7685,1.7513,0.0,1.7513,before,-0.9762,1.7513,57000.0
1.7426,19910130,-0.08,000005.SZE,9.0,0.002,1.7513,1.7426,0.0,1.7426,before,-0.4929,1.7426,73000.0
1.734,19910131,-0.08,000005.SZE,25.0,0.0056,1.7426,1.734,0.0,1.734,before,-0.4954,1.734,201000.0
1.7599,19910204,0.08,000005.SZE,563.0,0.127,1.7513,1.7599,0.0,1.7599,before,0.4929,1.7599,4591000.0
1.7685,19910205,0.08,000005.SZE,492.0,0.111,1.7599,1.7685,0.0,1.7685,before,0.4905,1.7685,4032000.0
1.7772,19910206,0.08,000005.SZE,740.0,0.1669,1.7685,1.7772,0.0,1.7772,before,0.4881,1.7772,6094000.0
1.7772,19910207,0.0,000005.SZE,618.0,0.1394,1.7772,1.7772,0.0,1.7772,before,0.0,1.7772,5089000.0
1.7685,19910208,-0.08,000005.SZE,332.0,0.0749,1.7772,1.7685,0.0,1.7685,before,-0.4857,1.7685,2721000.0
1.7513,19910211,-0.08,000005.SZE,85.0,0.0192,1.7599,1.7513,0.0,1.7513,before,-0.4905,1.7513,690000.0
1.7426,19910212,-0.08,000005.SZE,45.0,0.0101,1.7513,1.7426,0.0,1.7426,before,-0.4929,1.7426,363000.0
1.734,19910213,-0.08,000005.SZE,16.0,0.0036,1.7426,1.734,0.0,1.734,before,-0.4954,1.734,128000.0
1.7254,19910222,-0.08,000005.SZE,4.0,0.0009,1.734,1.7254,0.0,1.7254,before,-0.4978,1.7254,32000.0
1.7081,19910225,-0.08,000005.SZE,19.0,0.0043,1.7167,1.7081,0.0,1.7081,before,-0.5028,1.7081,150000.0
1.6995,19910226,-0.08,000005.SZE,11.0,0.0025,1.7081,1.6995,0.0,1.6995,before,-0.5054,1.6995,87000.0
1.6908,19910227,-0.08,000005.SZE,12.0,0.0027,1.6995,1.6908,0.0,1.6908,before,-0.5079,1.6908,94000.0
1.6822,19910228,-0.08,000005.SZE,12.0,0.0027,1.6908,1.6822,0.0,1.6822,before,-0.5105,1.6822,93000.0
1.6736,19910301,-0.08,000005.SZE,1.0,0.0002,1.6822,1.6736,0.0,1.6736,before,-0.5131,1.6736,5000.0
1.6563,19910304,-0.08,000005.SZE,4.0,0.0009,1.6649,1.6563,0.0,1.6563,before,-0.5185,1.6563,31000.0
1.6477,19910305,-0.08,000005.SZE,1.0,0.0002,1.6563,1.6477,0.0,1.6477,before,-0.5212,1.6477,4000.0
1.639,19910306,-0.08,000005.SZE,3.0,0.0007,1.6477,1.639,0.0,1.639,before,-0.5239,1.639,23000.0
1.6304,19910307,-0.08,000005.SZE,7.0,0.0016,1.639,1.6304,0.0,1.6304,before,-0.5267,1.6304,53000.0
1.6218,19910308,-0.08,000005.SZE,2.0,0.0005,1.6304,1.6218,0.0,1.6218,before,-0.5295,1.6218,15000.0
1.6056,19910311,-0.07,000005.SZE,3.0,0.0007,1.6131,1.6056,0.0,1.6056,before,-0.4682,1.6056,22000.0
1.598,19910312,-0.07,000005.SZE,14.0,0.0032,1.6056,1.598,0.0,1.598,before,-0.4704,1.598,104000.0
1.5905,19910313,-0.07,000005.SZE,50.0,0.0113,1.598,1.5905,0.0,1.5905,before,-0.4727,1.5905,368000.0
1.5829,19910314,-0.07,000005.SZE,10.0,0.0023,1.5905,1.5829,0.0,1.5829,before,-0.4749,1.5829,73000.0
1.5754,19910315,-0.07,000005.SZE,3.0,0.0007,1.5829,1.5754,0.0,1.5754,before,-0.4772,1.5754,22000.0
1.5603,19910318,-0.14,000005.SZE,5.0,0.0011,1.5754,1.5603,0.0,1.5603,before,-0.9589,1.5603,36000.0
1.515,19910325,-0.42,000005.SZE,1.0,0.0002,1.5603,1.515,0.0,1.515,before,-2.9046,1.515,7000.0
1.5074,19910326,-0.07,000005.SZE,3.0,0.0007,1.515,1.5074,0.0,1.5074,before,-0.4986,1.5074,21000.0
1.4696,19910329,-0.35,000005.SZE,16.0,0.0036,1.5074,1.4696,0.0,1.4696,before,-2.5054,1.4696,109000.0
1.4621,19910402,-0.14,000005.SZE,6.0,0.0014,1.4772,1.4621,0.0,1.4621,before,-1.0226,1.4621,41000.0
1.4545,19910403,-0.07,000005.SZE,5.0,0.0011,1.4621,1.4545,0.0,1.4545,before,-0.5166,1.4545,34000.0
1.4469999999999998,19910404,-0.07,000005.SZE,2.0,0.0005,1.4545,1.4469999999999998,0.0,1.4469999999999998,before,-0.5193,1.4469999999999998,13000.0
1.4394,19910405,-0.07,000005.SZE,1.0,0.0002,1.4469999999999998,1.4394,0.0,1.4394,before,-0.522,1.4394,7000.0
1.4243,19910408,-0.07,000005.SZE,2.0,0.0005,1.4319,1.4243,0.0,1.4243,before,-0.5275,1.4243,13000.0
1.4168,19910409,-0.07,000005.SZE,1.0,0.0002,1.4243,1.4168,0.0,1.4168,before,-0.5303,1.4168,6000.0
1.4017,19910411,-0.14,000005.SZE,5.0,0.0011,1.4168,1.4017,0.0,1.4017,before,-1.0663,1.4017,32000.0
1.3952,19910412,-0.06,000005.SZE,3.0,0.0007,1.4017,1.3952,0.0,1.3952,before,-0.4619,1.3952,19000.0
1.3693,19910417,-0.18,000005.SZE,1.0,0.0002,1.3887,1.3693,0.0,1.3693,before,-1.3986,1.3693,6000.0
1.324,19910425,-0.42,000005.SZE,4.0,0.0009,1.3693,1.324,0.0,1.324,before,-3.3097,1.324,24000.0
1.3175,19910426,-0.06,000005.SZE,1.0,0.0002,1.324,1.3175,0.0,1.3175,before,-0.489,1.3175,6000.0
1.3045,19910429,-0.12,000005.SZE,1.0,0.0002,1.3175,1.3045,0.0,1.3045,before,-0.9828,1.3045,6000.0
1.2981,19910430,-0.06,000005.SZE,8.0,0.0018,1.3045,1.2981,0.0,1.2981,before,-0.4963,1.2981,48000.0
1.2916,19910502,-0.06,000005.SZE,1.0,0.0002,1.2981,1.2916,0.0,1.2916,before,-0.4988,1.2916,6000.0
1.2851,19910503,-0.06,000005.SZE,6.0,0.0014,1.2916,1.2851,0.0,1.2851,before,-0.5013,1.2851,36000.0
1.2657,19910507,-0.12,000005.SZE,4.0,0.0009,1.2786,1.2657,0.0,1.2657,before,-1.0127,1.2657,23000.0
1.2592,19910508,-0.06,000005.SZE,7.0,0.0016,1.2657,1.2592,0.0,1.2592,before,-0.5115,1.2592,41000.0
1.2528,19910509,-0.06,000005.SZE,10.0,0.0023,1.2592,1.2528,0.0,1.2528,before,-0.5141,1.2528,58000.0
1.2463,19910510,-0.06,000005.SZE,5.0,0.0011,1.2528,1.2463,0.0,1.2463,before,-0.5168,1.2463,29000.0
1.2333,19910513,-0.06,000005.SZE,12.0,0.0027,1.2398,1.2333,0.0,1.2333,before,-0.5222,1.2333,68000.0
1.2269,19910514,-0.06,000005.SZE,65.0,0.0147,1.2333,1.2269,0.0,1.2269,before,-0.5249,1.2269,369000.0
1.2204,19910515,-0.06,000005.SZE,429.0,0.0968,1.2269,1.2204,0.0,1.2204,before,-0.5277,1.2204,2426000.0
1.2139,19910516,-0.06,000005.SZE,922.0,0.2079,1.2204,1.2139,0.0,1.2139,before,-0.5305,1.2139,5186000.0
1.2074,19910517,-0.06,000005.SZE,877.0,0.1978,1.2139,1.2074,0.0,1.2074,before,-0.5333,1.2074,4907000.0
1.1945,19910520,-0.06,000005.SZE,103.0,0.0232,1.2009999999999998,1.1945,0.0,1.1945,before,-0.5391,1.1945,570000.0
1.188,19910521,-0.06,000005.SZE,63.0,0.0142,1.1945,1.188,0.0,1.188,before,-0.542,1.188,4590000.0
1.1815,19910522,-0.06,000005.SZE,15.0,0.0034,1.188,1.1815,0.0,1.1815,before,-0.545,1.1815,82000.0
1.1761,19910523,-0.05,000005.SZE,21.0,0.0047,1.1815,1.1761,0.0,1.1761,before,-0.4566,1.1761,114000.0
1.1707,19910524,-0.05,000005.SZE,7.0,0.0016,1.1761,1.1707,0.0,1.1707,before,-0.4587,1.1707,38000.0
1.1546,19910528,-0.1,000005.SZE,15.0,0.0034,1.1653,1.1546,0.0,1.1546,before,-0.9259,1.1546,80000.0
1.1492,19910529,-0.05,000005.SZE,7.0,0.0016,1.1546,1.1492,0.0,1.1492,before,-0.4673,1.1492,37000.0
1.1438,19910530,-0.05,000005.SZE,3.0,0.0007,1.1492,1.1438,0.0,1.1438,before,-0.4695,1.1438,16000.0
1.1384,19910531,-0.05,000005.SZE,2.0,0.0005,1.1438,1.1384,0.0,1.1384,before,-0.4717,1.1384,10000.0
1.1276,19910603,-0.05,000005.SZE,3.0,0.0007,1.133,1.1276,0.0,1.1276,before,-0.4762,1.1276,16000.0
1.1222,19910604,-0.05,000005.SZE,4.0,0.0009,1.1276,1.1222,0.0,1.1222,before,-0.4785,1.1222,21000.0
1.1168,19910605,-0.05,000005.SZE,2.0,0.0005,1.1222,1.1168,0.0,1.1168,before,-0.4808,1.1168,10000.0
1.1059999999999999,19910607,-0.1,000005.SZE,5.0,0.0011,1.1168,1.1059999999999999,0.0,1.1059999999999999,before,-0.9662,1.1059999999999999,26000.0
1.0952,19910610,-0.05,000005.SZE,6.0,0.0014,1.1006,1.0952,0.0,1.0952,before,-0.4902,1.0952,30000.0
1.0898,19910611,-0.05,000005.SZE,3.0,0.0007,1.0952,1.0898,0.0,1.0898,before,-0.4926,1.0898,15000.0
1.0844,19910612,-0.05,000005.SZE,17.0,0.0038,1.0898,1.0844,0.0,1.0844,before,-0.495,1.0844,85000.0
1.079,19910613,-0.05,000005.SZE,11.0,0.0025,1.0844,1.079,0.0,1.079,before,-0.4975,1.079,55000.0
1.0736,19910614,-0.05,000005.SZE,11.0,0.0025,1.079,1.0736,0.0,1.0736,before,-0.5,1.0736,55000.0
1.0521,19910619,-0.15,000005.SZE,25.0,0.0056,1.0682,1.0521,0.0,1.0521,before,-1.5152,1.0521,122000.0
1.0467,19910620,-0.05,000005.SZE,1.0,0.0002,1.0521,1.0467,0.0,1.0467,before,-0.5128,1.0467,5000.0
1.0413,19910621,-0.05,000005.SZE,4.0,0.0009,1.0467,1.0413,0.0,1.0413,before,-0.5155,1.0413,19000.0
1.0305,19910624,-0.05,000005.SZE,15.0,0.0034,1.0359,1.0305,0.0,1.0305,before,-0.5208,1.0305,72000.0
1.0197,19910626,-0.1,000005.SZE,3.0,0.0007,1.0305,1.0197,0.0,1.0197,before,-1.0471,1.0197,14000.0
1.0143,19910627,-0.05,000005.SZE,10.0,0.0023,1.0197,1.0143,0.0,1.0143,before,-0.5291,1.0143,47000.0
0.9981,19910701,-0.05,000005.SZE,1.0,0.0002,1.0035,0.9981,0.0,0.9981,before,-0.5376,0.9981,5000.0
0.9927,19910702,-0.05,000005.SZE,4.0,0.0009,0.9981,0.9927,0.0,0.9927,before,-0.5405,0.9927,18000.0
0.9873,19910703,-0.05,000005.SZE,5.0,0.0011,0.9927,0.9873,0.0,0.9873,before,-0.5435,0.9873,23000.0
0.9819,19910704,-0.05,000005.SZE,4.0,0.0009,0.9873,0.9819,0.0,0.9819,before,-0.5464,0.9819,18000.0
0.9765,19910705,-0.05,000005.SZE,24.0,0.0054,0.9819,0.9765,0.0,0.9765,before,-0.5495,0.9765,108000.0
0.9668,19910708,-0.09,000005.SZE,1.0,0.0002,0.9765,0.9668,0.0,0.9668,before,-0.9945,0.9668,4000.0
0.9495,19910712,-0.16,000005.SZE,2.0,0.0005,0.9668,0.9495,0.0,0.9495,before,-1.7857,0.9495,9000.0
0.9366,19910716,-0.12,000005.SZE,1.0,0.0002,0.9495,0.9366,0.0,0.9366,before,-1.3636,0.9366,4000.0
0.9236,19910719,-0.12,000005.SZE,1.0,0.0002,0.9366,0.9236,0.0,0.9236,before,-1.3825,0.9236,4000.0
0.8114,19910819,-1.04,000005.SZE,1.0,0.0002,0.9236,0.8114,0.0,0.8114,before,-12.1495,0.8114,4000.0
0.8028,19910821,-0.08,000005.SZE,1.0,0.0002,0.8114,0.8028,0.0,0.8028,before,-1.0638,0.8028,4000.0
0.7812,19910827,-0.08,000005.SZE,1.0,0.0002,0.7898,0.7812,0.0,0.7812,before,-1.0929,0.7812,4000.0
0.7769,19910828,-0.04,000005.SZE,1.0,0.0002,0.7812,0.7769,0.0,0.7769,before,-0.5525,0.7769,3000.0
0.7596,19910902,-0.16,000005.SZE,1.0,0.0002,0.7769,0.7596,0.0,0.7596,before,-2.2222,0.7596,3000.0
0.7456,19910906,-0.13,000005.SZE,1.0,0.0002,0.7596,0.7456,0.0,0.7456,before,-1.8466,0.7456,3000.0
0.7359,19910910,-0.09,000005.SZE,2.0,0.0005,0.7456,0.7359,0.0,0.7359,before,-1.3025,0.7359,7000.0
0.6938,19910925,-0.39,000005.SZE,1.0,0.0002,0.7359,0.6938,0.0,0.6938,before,-5.7185,0.6938,3000.0
0.6776,19911003,-0.15,000005.SZE,7.0,0.0016,0.6938,0.6776,0.0,0.6776,before,-2.3328,0.6776,22000.0
0.6744,19911004,-0.03,000005.SZE,12.0,0.0027,0.6776,0.6744,0.0,0.6744,before,-0.4777,0.6744,37000.0
0.6679,19911007,-0.03,000005.SZE,3.0,0.0007,0.6712,0.6679,0.0,0.6679,before,-0.4823,0.6679,9000.0
0.6647,19911008,-0.03,000005.SZE,477.0,0.1076,0.6679,0.6647,0.0,0.6647,before,-0.4847,0.6647,1469000.0
0.6679,19911009,-0.03,000005.SZE,1926.0,0.4344,0.6647,0.6614,0.0097,0.6614,before,-0.48700000000000004,0.6614,5955000.0
0.6712,19911010,0.09,000005.SZE,1329.0,0.2997,0.6614,0.6712,0.0,0.6712,before,1.4682,0.6712,4133000.0
0.6744,19911011,0.03,000005.SZE,1410.0,0.318,0.6712,0.6744,0.0,0.6744,before,0.4823,0.6744,4406000.0
0.6809,19911014,0.03,000005.SZE,559.0,0.1261,0.6776,0.6809,0.0,0.6809,before,0.4777,0.6809,1764000.0
0.6841,19911015,0.03,000005.SZE,711.0,0.1604,0.6809,0.6841,0.0,0.6841,before,0.4754,0.6841,2254000.0
0.6873,19911016,0.03,000005.SZE,378.0,0.0853,0.6841,0.6873,0.0,0.6873,before,0.4732,0.6873,1204000.0
0.6906,19911017,0.03,000005.SZE,1622.0,0.3658,0.6873,0.6906,0.0,0.6906,before,0.47100000000000003,0.6906,5190000.0
0.6938,19911018,0.03,000005.SZE,469.0,0.1058,0.6906,0.6938,0.0,0.6938,before,0.4688,0.6938,1508000.0
0.7003,19911021,0.03,000005.SZE,189.0,0.0426,0.6971,0.7003,0.0,0.7003,before,0.4644,0.7003,613000.0
0.7035,19911022,0.03,000005.SZE,195.0,0.044000000000000004,0.7003,0.7035,0.0,0.7035,before,0.4622,0.7035,636000.0
0.7068,19911023,0.03,000005.SZE,343.0,0.0774,0.7035,0.7068,0.0,0.7068,before,0.4601,0.7068,1123000.0
0.71,19911024,0.03,000005.SZE,316.0,0.0713,0.7068,0.71,0.0,0.71,before,0.45799999999999996,0.71,1040000.0
0.7132,19911025,0.03,000005.SZE,83.0,0.0187,0.71,0.7132,0.0,0.7132,before,0.4559,0.7132,274000.0
0.7197,19911028,0.03,000005.SZE,69.0,0.0156,0.7165,0.7197,0.0,0.7197,before,0.4518,0.7197,230000.0
0.7229,19911029,0.03,000005.SZE,53.0,0.012,0.7197,0.7229,0.0,0.7229,before,0.4498,0.7229,177000.0
0.7262,19911030,0.03,000005.SZE,63.0,0.0142,0.7229,0.7262,0.0,0.7262,before,0.4478,0.7262,212000.0
0.7294,19911031,0.03,000005.SZE,63.0,0.0142,0.7262,0.7294,0.0,0.7294,before,0.4458,0.7294,213000.0
0.7327,19911101,0.03,000005.SZE,21.0,0.0047,0.7294,0.7327,0.0,0.7327,before,0.4438,0.7327,71000.0
0.7391,19911104,0.03,000005.SZE,28.0,0.0063,0.7359,0.7391,0.0,0.7391,before,0.4399,0.7391,96000.0
0.7424,19911105,0.03,000005.SZE,28.0,0.0063,0.7391,0.7424,0.0,0.7424,before,0.43799999999999994,0.7424,96000.0
0.7456,19911106,0.03,000005.SZE,39.0,0.0088,0.7424,0.7456,0.0,0.7456,before,0.436,0.7456,135000.0
